"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6","6","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","D1, D2, D3, D4","4","LED","LED_THT:LED_D3.0mm",""
"3","J1, J3, J4, J5","4","3.5mm_Mono_Switched_SymSmall_0.05","PCM_4ms_Jack:EighthInch_PJ398SM_with_hole",""
"4","J2","1","Conn_01x06_Socket","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"5","R1, R4, R6, R10, R11, R15, R16, R20","8","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"6","R2, R7, R12, R17","4","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"7","R3, R8, R13, R18","4","220k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"8","R5, R9, R14, R19","4","4k7","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"9","U1","1","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
